CANTON_FINAL,CANTON_DEF,CURSO,CURSO_NORMALIZADO,CONVOCATORIA,AÑO,SEXO_FINAL,SEXO_NORMALIZADO,EDAD,EDAD_CLASIFICADA,BENEFICIARIO,CERTIFICADO,DESERCION,INTERMITENTE,EDICION,__HOJA_ORIGEN__,__FECHA_ETL__,__FILAS_ETL__
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Masculino,Masculino,Sin dato,Sin dato,1,1,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San Rafael,San Rafael,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Alajuela,Alajuela,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,1,0,1,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Masculino,Masculino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Aserrí,Aserrí,redaccion,redaccion,1.0,2024,Masculino,Masculino,Sin dato,Sin dato,1,0,1,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,1,0,1,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,1,0,1,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Masculino,Masculino,Sin dato,Sin dato,1,0,1,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,1,1,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,1,1,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Cartago,Cartago,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,redaccion,redaccion,1.0,2024,Femenino,Femenino,Sin dato,Sin dato,0,0,0,0,redaccion-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
